"field_name","field_group","source","retrieval_required","llm_required","lov_validation_required","uom_normalization_required","deterministic_rules_can_generate","character_limit","validation_requirements","notes_from_supplied_files_only"
"ATTRIBUTE_UOM 17","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 18","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 18","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 18","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 19","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 19","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 19","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 20","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 20","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 20","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 21","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 21","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 21","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 22","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 22","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 22","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 23","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 23","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 23","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 24","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 24","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 24","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 25","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 25","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 25","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 26","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 26","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 26","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 27","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 27","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 27","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 28","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 28","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 28","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 29","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 29","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 29","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 30","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 30","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 30","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 31","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 31","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 31","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 32","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 32","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 32","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 33","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 33","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 33","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 34","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 34","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 34","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 35","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 35","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 35","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
